document_id,doc_title,date
1,1005210-2009-02-05.txt,2009Q1
2,100625-2009-05-13.txt,2009Q1
3,1006830-2009-05-15.txt,2009Q1
4,100548-2009-05-08.txt,2009Q1
5,1017303-2009-05-11.txt,2009Q1
6,1000229-2009-04-24.txt,2009Q1
7,1000623-2009-05-06.txt,2009Q1
8,1013237-2009-01-09.txt,2009Q1
9,101778-2009-05-08.txt,2009Q1
10,1009672-2009-05-06.txt,2009Q1
11,1000697-2009-05-08.txt,2009Q1
12,100493-2009-05-04.txt,2009Q1
13,1003410-2009-05-14.txt,2009Q1
14,1007587-2009-05-06.txt,2009Q1
15,1016178-2009-02-17.txt,2009Q1
16,1012100-2009-05-08.txt,2009Q1
17,100378-2009-02-04.txt,2009Q1
18,1005409-2009-05-11.txt,2009Q1
19,1010470-2009-05-08.txt,2009Q1
20,1005286-2009-01-08.txt,2009Q1
21,1013871-2009-04-30.txt,2009Q1
22,1014473-2009-05-08.txt,2009Q1
23,1013462-2009-05-08.txt,2009Q1
24,1016125-2009-05-11.txt,2009Q1
25,1000232-2009-05-15.txt,2009Q1
26,1002517-2009-02-09.txt,2009Q1
27,101829-2009-04-24.txt,2009Q1
28,1001082-2009-05-11.txt,2009Q1
29,1011060-2009-02-17.txt,2009Q1
30,1017655-2009-05-08.txt,2009Q1
31,1001250-2009-05-05.txt,2009Q1
32,1007019-2009-03-12.txt,2009Q1
33,1016504-2009-05-20.txt,2009Q1
34,1010612-2009-05-06.txt,2009Q1
35,10048-2009-05-14.txt,2009Q1
36,1002517-2009-05-11.txt,2009Q1
37,1005276-2009-02-13.txt,2009Q1
38,1001838-2009-05-11.txt,2009Q1
39,1000230-2009-03-16.txt,2009Q1
40,1012771-2009-05-11.txt,2009Q1
41,1001171-2009-05-14.txt,2009Q1
42,1002638-2009-05-07.txt,2009Q1
43,1001039-2009-02-03.txt,2009Q1
44,1005101-2009-05-15.txt,2009Q1
45,1005817-2009-05-08.txt,2009Q1
46,1013272-2009-05-11.txt,2009Q1
47,1002910-2009-05-08.txt,2009Q1
48,1000209-2009-05-08.txt,2009Q1
49,1000228-2009-05-04.txt,2009Q1
50,1013857-2009-05-05.txt,2009Q1
51,1014739-2009-05-05.txt,2009Q1
52,100716-2009-05-15.txt,2009Q1
53,1004702-2009-05-11.txt,2009Q1
54,10048-2009-02-13.txt,2009Q1
55,1007273-2009-05-07.txt,2009Q1
56,1005276-2009-05-15.txt,2009Q1
57,1013238-2009-05-12.txt,2009Q1
58,1006655-2009-02-17.txt,2009Q1
59,1016169-2009-05-13.txt,2009Q1
60,1006045-2009-05-15.txt,2009Q1
61,1000694-2009-05-11.txt,2009Q1
62,1001039-2009-05-05.txt,2009Q1
63,1001614-2009-05-11.txt,2009Q1
64,1005229-2009-02-05.txt,2009Q1
65,1013706-2009-05-20.txt,2009Q1
66,1001250-2009-02-05.txt,2009Q1
67,1002638-2009-02-04.txt,2009Q1
68,1011509-2009-05-11.txt,2009Q1
69,1008848-2009-05-11.txt,2009Q1
70,1016504-2009-02-20.txt,2009Q1
71,1011570-2009-05-11.txt,2009Q1
72,1006269-2009-05-11.txt,2009Q1
73,101594-2009-05-08.txt,2009Q1
74,1005101-2009-02-17.txt,2009Q1
75,1004036-2009-05-14.txt,2009Q1
76,101295-2009-05-14.txt,2009Q1
77,1018399-2009-05-11.txt,2009Q1
78,1008579-2009-05-14.txt,2009Q1
79,1015739-2009-05-06.txt,2009Q1
80,1003815-2009-05-15.txt,2009Q1
81,1017968-2009-05-08.txt,2009Q1
82,101382-2009-05-05.txt,2009Q1
83,1017673-2009-05-08.txt,2009Q1
84,1013488-2009-05-04.txt,2009Q1
85,100790-2009-05-04.txt,2009Q1
86,100726-2009-02-06.txt,2009Q1
87,1005284-2009-05-07.txt,2009Q1
